ys_7_27_5

VEHICLE(eVTOL)           VEHICLE(He) 
SPEED    DEADLINE       SPEED    DEADLINE
  200           1.5               250           1.5

CUSTOMER
Node.  Lon.   		   Lat.    		  PROFIT    k1        k2      S_T    		TYPE	      Medical_Demand

    0      97.038618        32.837901         0           0          0        0                 0           0
    1      97.009147        32.992911       900         250       80      0.1              2           1
    2      96.978617        33.001271       450         180       0        0.05            1           2
    3      97.032846        33.199051       340         130       0        0.05            1           1
    4      96.423199        33.268304       340         130       0        0.05            1           1
    5      97.15116          32.836235       340         130       0        0.05            1           1
    6      96.63697          33.462995       340         130       0        0.05            1           1
    7      97.252026        32.349219       420         170       0        0.05            1           2
    8      96.359208        32.962536       290         110       0        0.05            1           1
    9      96.607316        32.656208       400         140       0        0.05            1           2
    10     97.10914         33.377056       800         240       60      0.1              2           1
    11     96.699963        33.674121       240         100       0        0.05           1           1
    12     97.11029          33.369408       400         120       0        0.05           1           2
    13     97.354963        33.130311       240         100       0        0.05           1           1
    14     97.144527        33.266916       220         100       0        0.05           1           1
    15     97.301405        33.407285       400         140       0        0.05           1           2
    16     95.619054        33.844628       800         240       60      0.1             2           1
    17     96.063162        33.600043       210         100       0        0.05           1           1
    18     95.630375        33.844559       430         130       0        0.05           1           2
    19     95.246687        32.897702       800         240       60      0.1             2           1
    20     95.616722        32.783381       220         100       0        0.05           1           1
    21     95.305245        32.889816       580         170       0        0.05           1           2
    22     96.489083        32.204765       800         240       60      0.1             2           1
    23     96.822547        32.262525       240         100       0        0.05           1           1
    24     95.805216        34.137006       800         240       60      0.1             2           1
    25     96.525547        33.896393       240         100       0        0.05           1           1
    26     98.102929        32.978762       800         240       60      0.1             2           1
    27     97.789769        33.13295         260         110       0        0.05           1           1
    28     97.506909        32.652715       210         100       0        0.05           1           1
    29     97.995192        32.466221       440         130       0        0.05           1           2
    30     97.357462        32.890859       220         100       0        0.05           1           1
    31     97.972119        33.068478       240         100       0        0.05           1           1
    32     97.832731        32.512623       230         100       0        0.05           1           1
    33     98.11505          32.98188          240         100       0        0.05           1           1
    34     98.096947        32.972698       240         100       0        0.05           1           1

